DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	PHIX	RHOMAT	MBVI	MPHI
4170.5	-24.688	98.0362	10.2188	10	0.699	0.7332	0.737	2.2315	0.474343	40	0.3556531	2.856042	-999.25	-999.25
4171	-24.688	95.972	10.253	10	0.709	0.739	0.742	2.234	0.44256	40	0.3559234	2.86066	-999.25	-999.25
4171.5	-24.6255	97.9323	10.2415	10	0.7097	0.7458	0.747	2.2402	0.43091	40	0.3582752	2.876774	-999.25	-999.25
4172	-24.938	94.119	10.244	10	0.713	0.75	0.752	2.236	0.43016	40	0.358549	2.870985	-999.25	-999.25
4172.5	-25.3542	92.1512	10.2842	10	0.72	0.7545	0.7587	2.2327	0.450603	40	0.3561454	2.859248	-999.25	-999.25
4173	-25.25	89.577	10.35	10	0.73	0.757	0.762	2.226	0.44102	40	0.3600262	2.859447	-999.25	-999.25
4173.5	-26.2505	94.7455	10.3337	10	0.7332	0.7592	0.763	2.2258	0.415698	40	0.3596865	2.858201	-999.25	-999.25
4174	-25.938	94.948	10.347	10	0.739	0.76	0.763	2.23	0.41129	40	0.3593139	2.863734	-999.25	-999.25
4174.5	-25.9583	94.3515	10.3372	10	0.7517	0.757	0.7578	2.234	0.427538	40	0.3585651	2.867911	-999.25	-999.25
4175	-26.375	94.699	10.373	10	0.77	0.752	0.752	2.244	0.44518	40	0.3544161	2.872039	-999.25	-999.25
4175.5	-26.6875	104.084	10.332	10	0.7532	0.7373	0.7412	2.233	0.449038	40	0.3560806	2.859537	-999.25	-999.25
4176	-27	114.074	10.182	10	0.714	0.724	0.732	2.233	0.45328	40	0.3560934	2.859572	-999.25	-999.25
4176.5	-26.1458	122.7155	10.1425	10	0.6665	0.7018	0.7167	2.2167	0.456272	40	0.3663285	2.862269	-999.25	-999.25
4177	-26.25	127.458	10.145	10	0.634	0.686	0.705	2.21	0.47763	40	0.3673855	2.854623	-999.25	-999.25
4177.5	-26.3647	130.0308	10.1735	10	0.6137	0.668	0.6938	2.1938	0.466	40	0.3689737	2.833367	-999.25	-999.25
4178	-25.688	131.39	10.216	10	0.597	0.658	0.688	2.193	0.4706	40	0.368976	2.832105	-999.25	-999.25
4178.5	-26.3547	129.0013	10.2113	10	0.583	0.6523	0.689	2.1912	0.469418	40	0.3691829	2.82982	-999.25	-999.25
4179	-25.938	124.323	10.278	10	0.558	0.654	0.694	2.192	0.49246	40	0.3686443	2.829611	-999.25	-999.25
4179.5	-26.823	121.1517	10.3095	10	0.5233	0.673	0.7162	2.2028	0.514483	40	0.3680912	2.845188	-999.25	-999.25
4180	-27.188	119.94	10.292	10	0.535	0.698	0.737	2.237	0.4926	40	0.3545087	2.861449	-999.25	-999.25
4180.5	-27.4063	111.471	10.332	10	0.7002	0.7522	0.762	2.3098	0.437623	40	0.3415685	2.937397	-999.25	-999.25
4181	-28.188	101.601	10.357	10	0.896	0.798	0.782	2.354	0.38149	40	0.3182413	2.93936	-999.25	-999.25
4181.5	-27.5417	91.9625	10.3388	10	0.9532	0.8565	0.8158	2.3622	0.359332	40	0.2921002	2.883021	-999.25	-999.25
4182	-27.75	87.365	10.353	10	0.904	0.889	0.845	2.363	0.34539	40	0.2962217	2.894599	-999.25	-999.25
4182.5	-27.2817	83.5508	10.373	10	0.858	0.914	0.8828	2.366	0.337457	40	0.2984511	2.904578	-999.25	-999.25
